,_rlnReferenceImage,_rlnClassDistribution,_rlnAccuracyRotations,_rlnAccuracyTranslationsAngst,_rlnEstimatedResolution,_rlnOverallFourierCompleteness,_rlnClassPriorOffsetX,_rlnClassPriorOffsetY,_rlnHelicalRise,_rlnHelicalTwist
0,000001@Class2D/job016/run_it025_classes.mrcs,0.063675,999.000000,999.000000,5.773617,0.952124,-0.02029,-0.02308,6.785000,0.000000
1,000002@Class2D/job016/run_it025_classes.mrcs,0.000000,999.000000,999.000000,54.272000,0.665710,0.000000,0.000000,6.785000,0.000000
2,000003@Class2D/job016/run_it025_classes.mrcs,0.047198,0.050000,0.116600,4.678621,0.995874,-0.02285,0.054086,6.785000,0.000000
3,000004@Class2D/job016/run_it025_classes.mrcs,0.000000,999.000000,999.000000,54.272000,0.780593,0.000000,0.000000,6.785000,0.000000
4,000005@Class2D/job016/run_it025_classes.mrcs,0.044689,0.050000,0.116600,4.599322,0.986455,-0.02476,-0.00400,6.785000,0.000000
5,000006@Class2D/job016/run_it025_classes.mrcs,0.000000,999.000000,999.000000,18.090667,0.878076,0.000000,0.000000,6.785000,0.000000
6,000007@Class2D/job016/run_it025_classes.mrcs,0.054274,0.050000,0.116600,4.307302,0.995772,-0.02492,0.065279,6.785000,0.000000
7,000008@Class2D/job016/run_it025_classes.mrcs,0.091596,999.000000,999.000000,5.320784,0.983060,-0.04377,-0.06836,6.785000,0.000000
8,000009@Class2D/job016/run_it025_classes.mrcs,0.004260,0.100000,0.137800,6.310698,0.907488,-0.00174,9.314987e-04,6.785000,0.000000
9,000010@Class2D/job016/run_it025_classes.mrcs,0.000000,999.000000,999.000000,30.151111,0.718541,0.000000,0.000000,6.785000,0.000000
10,000011@Class2D/job016/run_it025_classes.mrcs,0.115047,0.050000,0.116600,4.678621,0.980843,-0.06567,-0.05865,6.785000,0.000000
11,000012@Class2D/job016/run_it025_classes.mrcs,0.075733,0.050000,0.116600,4.448525,0.999282,-0.03225,-0.05369,6.785000,0.000000
12,000013@Class2D/job016/run_it025_classes.mrcs,0.000000,999.000000,999.000000,30.151111,0.836320,0.000000,0.000000,6.785000,0.000000
13,000014@Class2D/job016/run_it025_classes.mrcs,0.000000,999.000000,999.000000,27.136000,0.865718,0.000000,0.000000,6.785000,0.000000
14,000015@Class2D/job016/run_it025_classes.mrcs,0.000000,999.000000,999.000000,19.382857,0.906360,0.000000,0.000000,6.785000,0.000000
15,000016@Class2D/job016/run_it025_classes.mrcs,0.000000,999.000000,999.000000,54.272000,0.792694,0.000000,0.000000,6.785000,0.000000
16,000017@Class2D/job016/run_it025_classes.mrcs,0.000000,999.000000,999.000000,54.272000,0.785676,0.000000,0.000000,6.785000,0.000000
17,000018@Class2D/job016/run_it025_classes.mrcs,0.000000,999.000000,999.000000,27.136000,0.906675,0.000000,0.000000,6.785000,0.000000
18,000019@Class2D/job016/run_it025_classes.mrcs,0.033157,0.050000,0.106000,4.678621,0.998668,-0.01348,0.037453,6.785000,0.000000
19,000020@Class2D/job016/run_it025_classes.mrcs,0.061255,0.050000,0.116600,4.522667,0.986762,-0.03647,-0.09008,6.785000,0.000000
20,000021@Class2D/job016/run_it025_classes.mrcs,0.089442,0.050000,0.116600,4.599322,0.981087,-0.04572,0.085594,6.785000,0.000000
21,000022@Class2D/job016/run_it025_classes.mrcs,0.017052,0.100000,0.127200,5.537959,0.892268,-0.00742,-0.02807,6.785000,0.000000
22,000023@Class2D/job016/run_it025_classes.mrcs,0.066025,0.050000,0.116600,4.599322,0.976545,-0.02461,0.058980,6.785000,0.000000
23,000024@Class2D/job016/run_it025_classes.mrcs,0.026675,0.050000,0.116600,5.120000,0.978957,-0.01185,-0.05884,6.785000,0.000000
24,000025@Class2D/job016/run_it025_classes.mrcs,0.047005,0.050000,0.116600,4.448525,0.991838,-0.02722,0.051800,6.785000,0.000000
25,000026@Class2D/job016/run_it025_classes.mrcs,0.050235,0.050000,0.116600,4.448525,1.000000,-0.01953,0.008019,6.785000,0.000000
26,000027@Class2D/job016/run_it025_classes.mrcs,0.064694,999.000000,999.000000,6.030222,0.989906,-0.03077,-0.06487,6.785000,0.000000
27,000028@Class2D/job016/run_it025_classes.mrcs,0.047989,0.050000,0.116600,4.678621,0.992474,-0.01528,-0.09752,6.785000,0.000000
28,000029@Class2D/job016/run_it025_classes.mrcs,0.000000,999.000000,999.000000,54.272000,0.744891,0.000000,0.000000,6.785000,0.000000
29,000030@Class2D/job016/run_it025_classes.mrcs,0.000000,999.000000,999.000000,27.136000,0.751966,0.000000,0.000000,6.785000,0.000000
