 ,Label,Angle,Median,Slice,Length
1,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-90.690277,0.080468,1,0.005866
2,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-90.333111,0.162984,1,0.006077
3,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-89.668814,0.194881,1,0.006113
4,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-90,0.142714,1,0.006007
5,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,-90.662349,0.076173,2,0.006113
6,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,-89.325963,0.132491,2,0.006007
7,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,-89.66297,0.171241,2,0.006007
8,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,-90,0.099402,2,0.006148
9,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,-89.01224,0.115134,3,0.006149
10,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,-89.337651,0.152936,3,0.006113
11,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,-88.683088,0.132862,3,0.00615
12,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,-89.000756,0.0972,3,0.006078
13,run_it025_classes.mrcs:z:4/30 - run_it025_classes.mrcs,-89.321975,0.094587,4,0.005972
14,run_it025_classes.mrcs:z:4/30 - run_it025_classes.mrcs,-89.664941,0.167737,4,0.006042
15,run_it025_classes.mrcs:z:4/30 - run_it025_classes.mrcs,-89.313856,0.193788,4,0.005901
16,run_it025_classes.mrcs:z:4/30 - run_it025_classes.mrcs,-90,0.079839,4,0.005795
17,run_it025_classes.mrcs:z:5/30 - run_it025_classes.mrcs,-90.686144,0.09277,5,0.005901
18,run_it025_classes.mrcs:z:5/30 - run_it025_classes.mrcs,-89.648497,0.113217,5,0.005759
19,run_it025_classes.mrcs:z:5/30 - run_it025_classes.mrcs,-90,0.129406,5,0.005689
20,run_it025_classes.mrcs:z:5/30 - run_it025_classes.mrcs,-90,0.140881,5,0.005865
21,run_it025_classes.mrcs:z:6/30 - run_it025_classes.mrcs,-90,0.062761,6,0.005901
22,run_it025_classes.mrcs:z:6/30 - run_it025_classes.mrcs,-91.363928,0.13626,6,0.005938
23,run_it025_classes.mrcs:z:6/30 - run_it025_classes.mrcs,-90,0.08389,6,0.006042
24,run_it025_classes.mrcs:z:6/30 - run_it025_classes.mrcs,-91.363928,0.111268,6,0.005938
26,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,-97.247269,0.19406,7,0.006162
27,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,-96.632515,0.150692,7,0.006118
28,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,-97.247269,0.094548,7,0.006162
29,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,-98.414682,0.062594,7,0.006036
30,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,-98.035711,0.082475,9,0.006066
31,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,-97.750036,0.133837,9,0.006026
32,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,82.957961,0.124209,9,0.006052
33,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,82.916714,0.068714,9,0.006017
34,run_it025_classes.mrcs:z:10/30 - run_it025_classes.mrcs,-88.659992,0.173773,10,0.006044
35,run_it025_classes.mrcs:z:10/30 - run_it025_classes.mrcs,91.704728,0.172843,10,0.005939
36,run_it025_classes.mrcs:z:10/30 - run_it025_classes.mrcs,-87.628158,0.138926,10,0.005976
37,run_it025_classes.mrcs:z:10/30 - run_it025_classes.mrcs,-88.334894,0.117671,10,0.00608
38,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,90.690277,0.129015,11,0.005866
39,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,-90,0.240656,11,0.005795
40,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,-89.31794,0.116993,11,0.005936
41,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,-89.023462,0.083121,11,0.00622
42,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,-98.450699,0.161377,12,0.006251
43,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,-97.898137,0.153658,12,0.006171
44,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,-97.686722,0.105485,12,0.005812
45,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,-97.460566,0.118738,12,0.005987
46,run_it025_classes.mrcs:z:14/30 - run_it025_classes.mrcs,-96.231746,0.10125,14,0.006185
47,run_it025_classes.mrcs:z:14/30 - run_it025_classes.mrcs,-95.778119,0.103392,14,0.005966
48,run_it025_classes.mrcs:z:14/30 - run_it025_classes.mrcs,85.652543,0.139223,14,0.006059
49,run_it025_classes.mrcs:z:14/30 - run_it025_classes.mrcs,-95.472712,0.105309,14,0.005928
50,run_it025_classes.mrcs:z:16/30 - run_it025_classes.mrcs,-88.994914,0.09245,16,0.006043
51,run_it025_classes.mrcs:z:16/30 - run_it025_classes.mrcs,90.698694,0.131641,16,0.005795
52,run_it025_classes.mrcs:z:16/30 - run_it025_classes.mrcs,-88.243012,0.190988,16,0.005762
53,run_it025_classes.mrcs:z:16/30 - run_it025_classes.mrcs,-87.891905,0.102445,16,0.005763
54,run_it025_classes.mrcs:z:17/30 - run_it025_classes.mrcs,-81.623995,0.11148,17,0.005821
55,run_it025_classes.mrcs:z:17/30 - run_it025_classes.mrcs,-81.724107,0.108985,17,0.005891
56,run_it025_classes.mrcs:z:17/30 - run_it025_classes.mrcs,-81.227263,0.112155,17,0.005792
57,run_it025_classes.mrcs:z:17/30 - run_it025_classes.mrcs,-81.869898,0.08026,17,0.005746
58,run_it025_classes.mrcs:z:18/30 - run_it025_classes.mrcs,-90,0.118319,18,0.006113
59,run_it025_classes.mrcs:z:18/30 - run_it025_classes.mrcs,-90.341042,0.195843,18,0.005936
60,run_it025_classes.mrcs:z:18/30 - run_it025_classes.mrcs,-90.339024,0.162312,18,0.005971
61,run_it025_classes.mrcs:z:18/30 - run_it025_classes.mrcs,-89.652757,0.149116,18,0.00583
62,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,-88.627908,0.086814,20,0.005902
63,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,-88.952023,0.158139,20,0.005796
64,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,91.397181,0.14881,20,0.005796
65,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,91.414423,0.12316,20,0.005726
66,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-90.34936,0.10822,21,0.005795
67,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-90.343084,0.10642,21,0.005901
68,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-90.343084,0.170536,21,0.005901
69,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,90.33703,0.155251,21,0.006007
70,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,86.915188,0.146685,22,0.005909
71,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,-92.444068,0.108934,22,0.0058
72,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,86.253838,0.121075,22,0.005949
73,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,-92.663001,0.123538,22,0.006084
74,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-88.675478,0.136187,23,0.006114
75,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,90.670096,0.142868,23,0.006042
76,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,91.347887,0.140013,23,0.006008
77,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-89.017883,0.106664,23,0.006184
78,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,90.678025,0.107216,25,0.005972
79,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,-89.321975,0.16996,25,0.005972
80,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,-88.315316,0.15209,25,0.006009
81,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,-90,0.165846,25,0.005865
82,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,-88.989003,0.183292,26,0.006008
83,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,90.698694,0.126984,26,0.005795
84,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,-89.668814,0.160211,26,0.006113
85,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,89.66297,0.158269,26,0.006007
86,run_it025_classes.mrcs:z:27/30 - run_it025_classes.mrcs,-80.425772,0.081613,27,0.005948
87,run_it025_classes.mrcs:z:27/30 - run_it025_classes.mrcs,-80.706691,0.127374,27,0.005908
88,run_it025_classes.mrcs:z:27/30 - run_it025_classes.mrcs,-79.91183,0.105339,27,0.00585
89,run_it025_classes.mrcs:z:27/30 - run_it025_classes.mrcs,-79.695154,0.104447,27,0.005926
90,run_it025_classes.mrcs:z:29/30 - run_it025_classes.mrcs,-90,0.131694,29,0.006042
91,run_it025_classes.mrcs:z:29/30 - run_it025_classes.mrcs,-90,0.162164,29,0.005936
92,run_it025_classes.mrcs:z:29/30 - run_it025_classes.mrcs,-89.325963,0.188006,29,0.006007
93,run_it025_classes.mrcs:z:29/30 - run_it025_classes.mrcs,-89.664941,0.16128,29,0.006042
94,run_it025_classes.mrcs:z:30/30 - run_it025_classes.mrcs,-88.619646,0.110962,30,0.005867
95,run_it025_classes.mrcs:z:30/30 - run_it025_classes.mrcs,-87.966684,0.126098,30,0.005975
96,run_it025_classes.mrcs:z:30/30 - run_it025_classes.mrcs,-88.983022,0.130399,30,0.005972
97,run_it025_classes.mrcs:z:30/30 - run_it025_classes.mrcs,-87.966684,0.147183,30,0.005975
