Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY,Strain,Reporter,TimePoint,TeckRep
Track_1,101,0,0,0,0,0,300,0,300,21.664920000000002,0,1,142.50359,303.68412,0,0.30641,1.33388,0.06436,0.28385,0.17290999999999998,0.1257,0.14440999999999998,0.10923,0.12525,0.00705,pilH-fliC-,PaQa,1,1
Track_2,101,0,0,0,0,0,300,0,300,6.62927,1,2,307.54115,300.21465,0,0.30822,0.9010600000000001,0.041569999999999996,0.2612,0.16471,0.11345999999999999,0.1385,0.06649,0.11547,0.01089,pilH-fliC-,PaQa,1,1
Track_4,101,0,0,0,0,0,300,0,300,21.3369,3,4,207.17591000000002,281.40353,0,0.26809,0.8270299999999999,0.03519,0.24425,0.1462,0.12769,0.23023000000000002,0.08067,0.10217999999999999,0.042980000000000004,pilH-fliC-,PaQa,1,1
Track_7,101,0,0,0,0,0,300,0,300,19.15895,6,7,162.77007,235.81926,0,0.31489,0.70595,0.07787999999999999,0.33111999999999997,0.11388,0.10944000000000001,0.12797,0.08621000000000001,0.1104,0.008140000000000001,pilH-fliC-,PaQa,1,1
Track_8,104,0,0,3,0,0,300,0,300,14.3245,7,8,291.60983,218.14378,0,0.2723,0.66204,0.03754,0.25406,0.14363,0.09809,0.11935,0.06741,0.09911,0.00805,pilH-fliC-,PaQa,1,1
Track_9,101,0,0,0,0,0,300,0,300,7.8442300000000005,8,9,118.33193,193.47242,0,0.21650999999999998,0.59975,0.00554,0.19368,0.12555,0.12887,0.147,0.09752999999999999,0.1303,0.00748,pilH-fliC-,PaQa,1,1
Track_10,101,0,0,0,0,0,300,0,300,10.10993,9,10,79.28373,181.61521000000002,0,0.28086,0.75788,0.053520000000000005,0.26059,0.12577,0.0937,0.10512,0.08138,0.09382,0.0042899999999999995,pilH-fliC-,PaQa,1,1
Track_11,101,0,0,0,0,0,300,0,300,3.1137200000000003,10,11,162.79224,22.80355,0,0.23615,0.55128,0.014669999999999999,0.23449,0.11642999999999999,0.13813,0.15972999999999998,0.1196,0.13935,0.00705,pilH-fliC-,PaQa,1,1
Track_13,101,0,0,0,0,0,300,0,300,1.30378,12,13,315.07856,15.510520000000001,0,0.26773,0.6562899999999999,0.018359999999999998,0.26274000000000003,0.12068,0.09212000000000001,0.11035,0.06477000000000001,0.09254,0.00793,pilH-fliC-,PaQa,1,1
Track_14,70,0,0,0,0,0,207,0,207,13.543079999999998,13,14,249.51476,173.82802,0,0.31429,0.96372,0.04144,0.29686999999999997,0.18112999999999999,0.09407,0.19652,0.05554,0.09108,0.01915,pilH-fliC-,PaQa,1,1
Track_17,102,0,0,1,0,0,300,0,300,26.10483,16,17,109.73983999999999,146.31466,0,0.30406,0.60035,0.043930000000000004,0.30366,0.12644,0.1032,0.12093,0.07222,0.10372,0.00692,pilH-fliC-,PaQa,1,1
Track_19,101,0,0,0,0,0,300,0,300,15.73996,18,19,184.89144,124.88113,0,0.28365999999999997,0.54662,0.0403,0.28808,0.10960999999999999,0.12375,0.14193,0.11194000000000001,0.12343,0.0053100000000000005,pilH-fliC-,PaQa,1,1
Track_20,101,0,0,0,0,0,300,0,300,16.58442,19,20,244.24611000000002,108.22828999999999,0,0.29241,0.5854,0.04216,0.2874,0.12519,0.10013999999999999,0.11475,0.08478,0.10028,0.00566,pilH-fliC-,PaQa,1,1
Track_21,101,0,0,0,0,0,300,0,300,1.7724,20,21,282.23077,105.63533000000001,0,0.2083,0.5106,0.017669999999999998,0.18821,0.11068,0.09351,0.10964000000000002,0.07611,0.09461,0.00627,pilH-fliC-,PaQa,1,1
Track_23,101,0,0,0,0,0,300,0,300,21.79736,22,23,224.37765,82.98665,0,0.29912,0.74024,0.07025,0.28945,0.13076,0.10097,0.11732000000000001,0.08294,0.10214,0.00639,pilH-fliC-,PaQa,1,1
Track_25,101,0,0,0,0,0,300,0,300,0.325,24,25,332.47501,59.8,0,0.20135999999999998,1.54126,0.0,0.10833,0.35455,0.11037000000000001,0.12629,0.08169,0.11292,0.0092,pilH-fliC-,PaQa,1,1
